# Checklist	ERC000053	Tree of Life Checklist															
tax_id	scientific_name	sample_alias	sample_title	sample_description	organism part	lifestage	project name	collected_by	collection date	geographic location (latitude)	geographic location (longitude)	geographic location (region and locality)	identified_by	habitat	sex	geographic location (country and/or sea)	collecting institution
# Taxonomy ID of the organism as in the  NCBI Taxonomy database. Entries in the NCBI Taxonomy database have integer taxon IDs. See our tips for sample taxonomy here	Scientific name of the organism as in the  NCBI Taxonomy database. Scientific names typically follow the binomial nomenclature. For example, the scientific name for humans is Homo sapiens.	Unique name of the sample. If not selected system will auto generate an unique alias	Title of the sample	Description of the sample	The part of organism's anatomy or substance arising from an organism from which the biomaterial was derived, excludes cells.	The age class or life stage of the organism at the time of collection.	Name of the project within which the sequencing was organized	Name of persons or institute who collected the specimen	The date the sample was collected with the intention of sequencing, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid ISO8601 compliant times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008.	Collection coordinate in decimal grades	Collection coordinate in decimal grades	The geographical origin of the sample as defined by the specific region name followed by the locality name.		Description of the location of the sample material. please use EnvO terms where possible: https://www.ebi.ac.uk/ols/ontologies/envo	Sex of the organism from which the sample was obtained	The geographical origin of where the sample was collected from, with the intention of sequencing, as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html).	
9182	Phylloscopus trochilus	P_trochilus_SI-2304-DA94832	P_trochilus_SI-2304-DA94832	Blood drawn from living, field caught specimen SI-2304-DA94832	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2019-06-15	66.09806	22.78569	Norrbotten, Övermojärv	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81099	P_trochilus_UJ-3101-DD81099	Blood drawn from living, field caught specimen UJ-3101-DD81099	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-22	63.44385	14.834383	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81206	P_trochilus_UJ-3101-DD81206	Blood drawn from living, field caught specimen UJ-3101-DD81206	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-22	63.426795	14.848628	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81258	P_trochilus_UJ-3101-DD81258	Blood drawn from living, field caught specimen UJ-3101-DD81258	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-24	63.48071	14.884001	Jämtland, Norderåsen N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81266	P_trochilus_UJ-3101-DD81266	Blood drawn from living, field caught specimen UJ-3101-DD81266	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-25	63.394189	14.849295	Jämtland, Grötom	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81269	P_trochilus_UJ-3101-DD81269	Blood drawn from living, field caught specimen UJ-3101-DD81269	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-06-10	63.39778	14.849195	Jämtland, Grötom C	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81271	P_trochilus_UJ-3101-DD81271	Blood drawn from living, field caught specimen UJ-3101-DD81271	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-25	63.397699	14.850635	Jämtland, Grötom	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81281	P_trochilus_UJ-3101-DD81281	Blood drawn from living, field caught specimen UJ-3101-DD81281	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-26	63.394803	14.833378	Jämtland, Grötom	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81283	P_trochilus_UJ-3101-DD81283	Blood drawn from living, field caught specimen UJ-3101-DD81283	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-25	63.41326	14.812569	Jämtland, Grötom N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81284	P_trochilus_UJ-3101-DD81284	Blood drawn from living, field caught specimen UJ-3101-DD81284	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-26	63.412743	14.826558	Jämtland, Grötom N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81286	P_trochilus_UJ-3101-DD81286	Blood drawn from living, field caught specimen UJ-3101-DD81286	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-25	63.414046	14.815327	Jämtland, Grötom N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81289	P_trochilus_UJ-3101-DD81289	Blood drawn from living, field caught specimen UJ-3101-DD81289	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-06-11	63.414438	14.813218	Jämtland, Grötom N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81401	P_trochilus_UJ-3101-DD81401	Blood drawn from living, field caught specimen UJ-3101-DD81401	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-21	63.407926	14.822489	Jämtland, Grötom N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81402	P_trochilus_UJ-3101-DD81402	Blood drawn from living, field caught specimen UJ-3101-DD81402	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-25	63.399938	14.858515	Jämtland, Grötom	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81412	P_trochilus_UJ-3101-DD81412	Blood drawn from living, field caught specimen UJ-3101-DD81412	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-06-10	63.484371	14.883491	Jämtland, Norderåsen	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81414	P_trochilus_UJ-3101-DD81414	Blood drawn from living, field caught specimen UJ-3101-DD81414	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-24	63.479695	14.88248	Jämtland, Norderåsen N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_UJ-3101-DD81419	P_trochilus_UJ-3101-DD81419	Blood drawn from living, field caught specimen UJ-3101-DD81419	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2021-05-24	63.483519	14.885812	Jämtland, Norderåsen N	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Sweden	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10458	P_trochilus_WJ-3825-LH10458	Blood drawn from living, field caught specimen WJ-3825-LH10458	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-09	52.696115	23.45427	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10464	P_trochilus_WJ-3825-LH10464	Blood drawn from living, field caught specimen WJ-3825-LH10464	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-09	52.688286	23.452243	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10466	P_trochilus_WJ-3825-LH10466	Blood drawn from living, field caught specimen WJ-3825-LH10466	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-09	52.69073	23.45423	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10477	P_trochilus_WJ-3825-LH10477	Blood drawn from living, field caught specimen WJ-3825-LH10477	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-10	52.675215	23.431636	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10483	P_trochilus_WJ-3825-LH10483	Blood drawn from living, field caught specimen WJ-3825-LH10483	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-10	52.678579	23.439778	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10491	P_trochilus_WJ-3825-LH10491	Blood drawn from living, field caught specimen WJ-3825-LH10491	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-10	52.674488	23.431106	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
9182	Phylloscopus trochilus	P_trochilus_WJ-3825-LH10492	P_trochilus_WJ-3825-LH10492	Blood drawn from living, field caught specimen WJ-3825-LH10492	Whole blood	Adult	Genetics of bird migration	Kristaps Sokolovskis, Violeta Caballero-Lopéz, Staffan Bensch	2023-05-10	52.672213	23.439631	Warsaw, Dubicze	Kristaps Sokolovskis	http://purl.obolibrary.org/obo/ENVO_01000951	Male	Poland	Lund University
