Sample_Key	MD5_R1	File_R1	MD5_R2	File_R2
YF-4364-RE026-1A_S1_L001	3b0517984a40cc44f395ad6c13840f29	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE026-1A	YF-4364-RE026-1A_S1_L001_R1_001.fastq.gz	6ad8251a87bbed98665f5d1641434740	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE026-1A	YF-4364-RE026-1A_S1_L001_R2_001.fastq.gz
YF-4364-RE049-1A_S69_L002	1547f4d90e5b92b7c05c1e835991cf9b	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE049-1A_1	YF-4364-RE049-1A_S69_L002_R1_001.fastq.gz	089603d58a2ca9f3f894a1ba177ecdcc	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE049-1A_1	YF-4364-RE049-1A_S69_L002_R2_001.fastq.gz
YF-4364-RE027-1A1-2-pool_S47_L002	85b8fd624a9046a48bf5bbd8c3ee8207	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE027-1A1-2-pool_1	YF-4364-RE027-1A1-2-pool_S47_L002_R1_001.fastq.gz	8653578316a6448709665aad08df6aa2	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE027-1A1-2-pool_1	YF-4364-RE027-1A1-2-pool_S47_L002_R2_001.fastq.gz
YF-4364-RE051-1A_S26_L001	e32ed6b1eddb135531df6d88e84b002f	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE051-1A	YF-4364-RE051-1A_S26_L001_R1_001.fastq.gz	119c18d2e09a27daba245e37c2ba62c6	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE051-1A	YF-4364-RE051-1A_S26_L001_R2_001.fastq.gz
YF-4364-RE067-1A_S86_L002	b9ff797fa5458464ceb342533cb85cc4	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE067-1A_1	YF-4364-RE067-1A_S86_L002_R1_001.fastq.gz	27ac9b3ebdc46ec6d84a84591cdbd2dd	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE067-1A_1	YF-4364-RE067-1A_S86_L002_R2_001.fastq.gz
YF-4364-RE041-2A_S61_L002	c9fd8cdcd6b94e91093496e32a2ea5a3	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE041-2A_1	YF-4364-RE041-2A_S61_L002_R1_001.fastq.gz	fa8023a876649865b0d711c0a75a6f84	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE041-2A_1	YF-4364-RE041-2A_S61_L002_R2_001.fastq.gz
YF-4364-RE061-1A_S81_L002	5e41fc0a5757542f45202c3199291e60	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE061-1A_1	YF-4364-RE061-1A_S81_L002_R1_001.fastq.gz	b140963f243bd96c8ff17cb6201319c2	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE061-1A_1	YF-4364-RE061-1A_S81_L002_R2_001.fastq.gz
YF-4364-RE035-1A_S55_L002	f0d3008501ed13d6114bcede70418487	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE035-1A_1	YF-4364-RE035-1A_S55_L002_R1_001.fastq.gz	b1d5b47c0f8fa8fab511d6d06a97b548	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE035-1A_1	YF-4364-RE035-1A_S55_L002_R2_001.fastq.gz
YF-4364-RE037-1A1-2-pool_S12_L001	1435c7c180bcbe3f4cf8f0886a8b8e62	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE037-1A1-2-pool	YF-4364-RE037-1A1-2-pool_S12_L001_R1_001.fastq.gz	c2fbc43205b879c800355c68bf3b8d91	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE037-1A1-2-pool	YF-4364-RE037-1A1-2-pool_S12_L001_R2_001.fastq.gz
YF-4364-RE060-1A_S35_L001	ba9786c0639668c97844bd443ac90cb0	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE060-1A	YF-4364-RE060-1A_S35_L001_R1_001.fastq.gz	dd51d814b48bc1c5d2b76c4aa989c3e6	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE060-1A	YF-4364-RE060-1A_S35_L001_R2_001.fastq.gz
YF-4364-RE035-1A_S10_L001	2c6b213ced8a649b9249fb8ee1e64d37	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE035-1A	YF-4364-RE035-1A_S10_L001_R1_001.fastq.gz	23ceffbbb28f910dc3c7c016e7b1b4c2	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE035-1A	YF-4364-RE035-1A_S10_L001_R2_001.fastq.gz
YF-4364-RE061-1A_S36_L001	e37c3b4b167c16dc2c2858ef239b598a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE061-1A	YF-4364-RE061-1A_S36_L001_R1_001.fastq.gz	dc4e68760508d49372a15aeca0c8ed3b	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE061-1A	YF-4364-RE061-1A_S36_L001_R2_001.fastq.gz
YF-4364-RE065-1A_S84_L002	6ab1955b3ace53c81dfeef91b2b4393a	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE065-1A_1	YF-4364-RE065-1A_S84_L002_R1_001.fastq.gz	d10146b7f7b9682d54b11fb26e3240ea	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE065-1A_1	YF-4364-RE065-1A_S84_L002_R2_001.fastq.gz
YF-4364-RE046-1A_S21_L001	bcaab0e7897d6b388c80c598ecee99ca	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE046-1A	YF-4364-RE046-1A_S21_L001_R1_001.fastq.gz	2ecc6305c1fd37df31b141483d7dafc9	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE046-1A	YF-4364-RE046-1A_S21_L001_R2_001.fastq.gz
YF-4364-RE030-1A_S5_L001	22ceeb42f085facd08de7686b3b42f38	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE030-1A	YF-4364-RE030-1A_S5_L001_R1_001.fastq.gz	eee849c3db6c2e8212451b49e75dc128	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE030-1A	YF-4364-RE030-1A_S5_L001_R2_001.fastq.gz
YF-4364-RE033-2A_S53_L002	9652c8655a8acb281e9452cabc8162d0	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE033-2A_1	YF-4364-RE033-2A_S53_L002_R1_001.fastq.gz	4f6fe937914ba9b49012934999b63fc4	20260217_LH00217_0327_B23JJFLLT4	Sample_YF-4364-RE033-2A_1	YF-4364-RE033-2A_S53_L002_R2_001.fastq.gz
