center	scientific_name	tolid	common_names	biosample_accession	sample_tube_or_well_id	sample_coordinator	recipe	aim	locus_tag	alt_assembly	alt_annotation	instrument	library_selection	library_strategy	library_name	exp_attr	lib_attr	insert_size	yield	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	native_file_name	native_file_md5	file_name	file_md5				
SCILIFELAB	Laparocerus anagae	icLapAnag3	-	SAMEA115808863	FS38819785	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE031-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE031-1A_S51_L002_R1_001.fastq.gz	9146ffecea5e881ab19e0807388f6fd3	YF-4364-RE031-1A_S51_L002_R2_001.fastq.gz	d755335c34945e94e95abcd9e78fad48								
SCILIFELAB	Laparocerus anagae	icLapAnag3	-	SAMEA115808863	FS38819785	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE031-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE031-1A_S6_L001_R1_001.fastq.gz	5463cf18b53dbbb0bf078e11a8709e6e	YF-4364-RE031-1A_S6_L001_R2_001.fastq.gz	73c682dc2fdce195520ed678e584cc32								
SCILIFELAB	Troglohyphantes liburnicus	qqTroLibu6	-	SAMEA115118107	FF03939993_FF03939999	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE033-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE033-2A_S53_L002_R1_001.fastq.gz	9652c8655a8acb281e9452cabc8162d0	YF-4364-RE033-2A_S53_L002_R2_001.fastq.gz	4f6fe937914ba9b49012934999b63fc4								
SCILIFELAB	Troglohyphantes liburnicus	qqTroLibu6	-	SAMEA115118107	FF03939993_FF03939999	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE033-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE033-2A_S8_L001_R1_001.fastq.gz	909f11606a6c7ce0173fb461168c866f	YF-4364-RE033-2A_S8_L001_R2_001.fastq.gz	090c30fed79b6490b29537843b6a4416								
SCILIFELAB	Rhode magnifica	qqRhoMagi3	-	SAMEA115527213	H000528066_H000535907	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE034-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE034-2A_S54_L002_R1_001.fastq.gz	0f8158fec853dd168cbd8112783ed48f	YF-4364-RE034-2A_S54_L002_R2_001.fastq.gz	6a21d8620583c11aeb574731afa649b2								
SCILIFELAB	Rhode magnifica	qqRhoMagi3	-	SAMEA115527213	H000528066_H000535907	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE034-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE034-2A_S9_L001_R1_001.fastq.gz	0d344ee6986345956e8957cf859d00d3	YF-4364-RE034-2A_S9_L001_R2_001.fastq.gz	203fc00bad220bdeff8731a16fd32b43								
SCILIFELAB	Stalagtia hercegovinensis	qqStaHerc9	-	SAMEA115527237	H000528904	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE035-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE035-1A_S10_L001_R1_001.fastq.gz	2c6b213ced8a649b9249fb8ee1e64d37	YF-4364-RE035-1A_S10_L001_R2_001.fastq.gz	23ceffbbb28f910dc3c7c016e7b1b4c2								
SCILIFELAB	Stalagtia hercegovinensis	qqStaHerc9	-	SAMEA115527237	H000528904	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE035-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE035-1A_S55_L002_R1_001.fastq.gz	f0d3008501ed13d6114bcede70418487	YF-4364-RE035-1A_S55_L002_R2_001.fastq.gz	b1d5b47c0f8fa8fab511d6d06a97b548								
SCILIFELAB	Osmylus fulvicephalus	inOsmFulv2	-	SAMEA115755037	FS55571897	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE036-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE036-1A_S11_L001_R1_001.fastq.gz	f6fbde33170a44ba169596404e50261b	YF-4364-RE036-1A_S11_L001_R2_001.fastq.gz	454c79f57941c23d08644df5d0b90fa8								
SCILIFELAB	Osmylus fulvicephalus	inOsmFulv2	-	SAMEA115755037	FS55571897	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE036-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE036-1A_S56_L002_R1_001.fastq.gz	bd0ef4268295e5270ba3fc6cdb1c7b67	YF-4364-RE036-1A_S56_L002_R2_001.fastq.gz	46629bf4e5757c85bd9c827904b64a20								
SCILIFELAB	Trionyx triungius	rTriTgu1	-	SAMEA115737672	TT1_TT3_TT4_TT5	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE037-1A1-2-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE037-1A1-2-pool_S12_L001_R1_001.fastq.gz	1435c7c180bcbe3f4cf8f0886a8b8e62	YF-4364-RE037-1A1-2-pool_S12_L001_R2_001.fastq.gz	c2fbc43205b879c800355c68bf3b8d91								
SCILIFELAB	Trionyx triungius	rTriTgu1	-	SAMEA115737672	TT1_TT3_TT4_TT5	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE037-1A1-2-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE037-1A1-2-pool_S57_L002_R1_001.fastq.gz	14bf043937ce9af87e43e077d5bdc2b3	YF-4364-RE037-1A1-2-pool_S57_L002_R2_001.fastq.gz	85a759eaa23d75bf44e9c1d0bc087cac								
SCILIFELAB	Propomacrus cypriacus	icProCypr1	-	SAMEA116289666	LV6000912292	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE038-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE038-1A_S13_L001_R1_001.fastq.gz	ebc6709ca30f2203540b3f61bc488596	YF-4364-RE038-1A_S13_L001_R2_001.fastq.gz	dc27db1f796f09f61aa0fb7de3897473								
SCILIFELAB	Propomacrus cypriacus	icProCypr1	-	SAMEA116289666	LV6000912292	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE038-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE038-1A_S58_L002_R1_001.fastq.gz	02857061a419326a43e0909cae9b8e22	YF-4364-RE038-1A_S58_L002_R2_001.fastq.gz	ee425e8104a375504003fa4f0d9814d7								
SCILIFELAB	Aegaeobuthus cyprius	qqAegCypr1	-	SAMEA116289588	LV6000912370	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE039-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE039-1A_S14_L001_R1_001.fastq.gz	fc8c0119ed19f85424592b35a9a4dabc	YF-4364-RE039-1A_S14_L001_R2_001.fastq.gz	3a51e341c952108b554e5806d507746f								
SCILIFELAB	Aegaeobuthus cyprius	qqAegCypr1	-	SAMEA116289588	LV6000912370	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE039-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE039-1A_S59_L002_R1_001.fastq.gz	4a3ed2413c70dd518cce0f44501cf737	YF-4364-RE039-1A_S59_L002_R2_001.fastq.gz	7187c95be8e4a5b80f9123f4b1bccb8a								
SCILIFELAB	Agelena orientalis	qqAgeOrie3	-	SAMEA116289648	LV6000912408	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE040-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE040-1A_S15_L001_R1_001.fastq.gz	b8a4ec439e33c4d14a8b4a3f3bdd5816	YF-4364-RE040-1A_S15_L001_R2_001.fastq.gz	c594c24a58c224d266e606bbed132044								
SCILIFELAB	Agelena orientalis	qqAgeOrie3	-	SAMEA116289648	LV6000912408	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE040-1A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE040-1A_S60_L002_R1_001.fastq.gz	063aecff75145e60d4ed67aa044183c7	YF-4364-RE040-1A_S60_L002_R2_001.fastq.gz	216ad994e63ad8a5ed875b3d87a40769								
SCILIFELAB	Artema nephilit	qqArtNeph1	-	SAMEA116298746	LV6000659173	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE041-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE041-2A_S16_L001_R1_001.fastq.gz	52d92c6dc28850b0a2064576d4748d27	YF-4364-RE041-2A_S16_L001_R2_001.fastq.gz	e9fbd5e0a9d6b66d05e675ffbec870ce								
SCILIFELAB	Artema nephilit	qqArtNeph1	-	SAMEA116298746	LV6000659173	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE041-2A	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE041-2A_S61_L002_R1_001.fastq.gz	c9fd8cdcd6b94e91093496e32a2ea5a3	YF-4364-RE041-2A_S61_L002_R2_001.fastq.gz	fa8023a876649865b0d711c0a75a6f84								
SCILIFELAB	Buthus kunti	qqButKunt1	-	SAMEA116289416	LV6000912364_LV6000912379_LV6000912355	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE042-1A2-4-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE042-1A2-4-pool_S17_L001_R1_001.fastq.gz	c05d2a21c5dcd856800b4e0e3518aa37	YF-4364-RE042-1A2-4-pool_S17_L001_R2_001.fastq.gz	e0c0cd04529337f886811e6cb58f56d4								
SCILIFELAB	Buthus kunti	qqButKunt1	-	SAMEA116289416	LV6000912364_LV6000912379_LV6000912355	-	-	assembly	-	no	no	Illumina NovaSeq X	Oligo-dT	RNA-Seq	YF-4364-RE042-1A2-4-pool	-	LIBRARY_CONSTRUCTION_PROTOCOL:The RNA sequencing library is prepared using the TruSeq Stranded mRNA Library Preparation Kit with poly-A selection (cat# 20020595, Illumina Inc.). Library preparation is performed according to the manufacturer's protocol (#1000000040498). Before library preparation, the quality and quantity of the samples are evaluated using either the Fragment Analyzer system (DNF-471 kit) or the TapeStation 4200 (RNA ScreenTape), both systems from Agilent Technologies.	150	-	YF-4364-RE042-1A2-4-pool_S62_L002_R1_001.fastq.gz	b4f20e0827387172cbf072fe35faa070	YF-4364-RE042-1A2-4-pool_S62_L002_R2_001.fastq.gz	135256b718192f25c31df41f7a83a308								
