Year    Week  City          vartype.table_file              run_report_file                          ENA run accession    BioSample accession    ENA project accession
2022    7     Örebro        is_174_016.varType.table.tsv    run_report_samples_is_174_001-016.pdf    ERR11280840          SAMEA113373467         PRJEB60156
2021    51    Kalmar        is_174_017.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280841          SAMEA113373468         PRJEB60156
2022    3     Kalmar        is_174_018.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280842          SAMEA113373469         PRJEB60156
2022    3     Umeå          is_174_019.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280843          SAMEA113373470         PRJEB60156
2022    3     Örebro        is_174_020.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280844          SAMEA113373471         PRJEB60156
2022    5     Örebro        is_174_021.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280845          SAMEA113373472         PRJEB60156
2022    3     Stockholm     is_174_022.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280846          SAMEA113373473         PRJEB60156
2022    3     Malmö         is_174_023.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280847          SAMEA113373474         PRJEB60156
2022    4     Stockholm     is_174_024.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280848          SAMEA113373475         PRJEB60156
2022    4     Malmö         is_174_025.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280849          SAMEA113373476         PRJEB60156
2022    5     Stockholm     is_174_026.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280850          SAMEA113373477         PRJEB60156
2022    5     Malmö         is_174_027.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280851          SAMEA113373478         PRJEB60156
2022    6     Stockholm     is_174_028.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280852          SAMEA113373479         PRJEB60156
2022    6     Malmö         is_174_029.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280853          SAMEA113373480         PRJEB60156
2022    7     Stockholm     is_174_030.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280854          SAMEA113373481         PRJEB60156
2022    7     Malmö         is_174_031.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280855          SAMEA113373482         PRJEB60156
2021    52    Malmö         is_174_032.varType.table.tsv    run_report_samples_is_174_017-032.pdf    ERR11280856          SAMEA113373483         PRJEB60156
2022    8     Stockholm     is_175_001.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280857          SAMEA113373492         PRJEB60156
2022    8     Malmö         is_175_002.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280858          SAMEA113373493         PRJEB60156
2022    9     Stockholm     is_175_003.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280859          SAMEA113373494         PRJEB60156
2022    9     Malmö         is_175_004.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280860          SAMEA113373495         PRJEB60156
2022    10    Stockholm     is_175_005.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280861          SAMEA113373496         PRJEB60156
2022    10    Malmö         is_175_006.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280862          SAMEA113373497         PRJEB60156
2022    11    Stockholm     is_175_007.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280863          SAMEA113373498         PRJEB60156
2022    11    Malmö         is_175_008.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280864          SAMEA113373499         PRJEB60156
2022    12    Stockholm     is_175_009.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280865          SAMEA113373500         PRJEB60156
2022    12    Malmö         is_175_010.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280866          SAMEA113373501         PRJEB60156
2021    51    Kalmar        is_175_011.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280867          SAMEA113373502         PRJEB60156
2022    3     Uppsala       is_175_012.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280868          SAMEA113373503         PRJEB60156
2022    10    Kalmar        is_175_013.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280869          SAMEA113373504         PRJEB60156
2022    11    Örebro        is_175_014.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280870          SAMEA113373505         PRJEB60156
2022    12    Örebro        is_175_015.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280871          SAMEA113373506         PRJEB60156
